date,store,item,predicted_demand,opening_inventory,inventory_after_demand,on_order,inventory_position,reorder_point,target_inventory,recommended_order_qty,arrival_date
2018-01-01,1,1,13.28,140.28,127.0,0.0,127.0,143.17,283.45,157.0,2018-01-08
2018-01-02,1,1,15.33,127.0,111.67,157.0,268.67,143.07,283.35,0.0,
2018-01-03,1,1,15.24,111.67,96.43,157.0,253.43,143.06,283.34000000000003,0.0,
2018-01-04,1,1,15.78,96.43,80.65,157.0,237.65,143.15,283.43,0.0,
2018-01-05,1,1,16.81,80.65,63.84,157.0,220.84,143.28,283.56,0.0,
2018-01-06,1,1,18.23,63.84,45.61,157.0,202.61,143.98,284.26,0.0,
2018-01-07,1,1,20.0,45.61,25.61,157.0,182.61,143.91,284.19,0.0,
2018-01-08,1,1,13.22,182.61,169.39000000000001,0.0,169.39000000000001,143.95,284.23,0.0,
2018-01-09,1,1,15.23,169.39000000000001,154.16000000000003,0.0,154.16000000000003,143.65,283.93,0.0,
2018-01-10,1,1,15.23,154.16000000000003,138.93000000000004,0.0,138.93000000000004,143.51,283.78,145.0,2018-01-17
2018-01-11,1,1,15.87,138.93000000000004,123.06000000000003,145.0,268.06000000000006,143.59,283.86,0.0,
2018-01-12,1,1,16.94,123.06000000000003,106.12000000000003,145.0,251.12000000000003,143.62,283.9,0.0,
2018-01-13,1,1,18.93,106.12000000000003,87.19000000000003,145.0,232.19000000000003,143.28,283.55,0.0,
2018-01-14,1,1,19.92,87.19000000000003,67.27000000000002,145.0,212.27000000000004,143.43,283.71000000000004,0.0,
2018-01-15,1,1,13.26,67.27000000000002,54.010000000000026,145.0,199.01000000000002,143.89,284.16999999999996,0.0,
2018-01-16,1,1,14.93,54.010000000000026,39.08000000000003,145.0,184.08000000000004,144.3,284.58000000000004,0.0,
2018-01-17,1,1,15.08,184.08000000000004,169.00000000000003,0.0,169.00000000000003,144.76,285.03,0.0,
2018-01-18,1,1,15.95,169.00000000000003,153.05000000000004,0.0,153.05000000000004,145.2,285.48,0.0,
2018-01-19,1,1,16.98,153.05000000000004,136.07000000000005,0.0,136.07000000000005,145.64,285.91999999999996,150.0,2018-01-26
2018-01-20,1,1,18.59,136.07000000000005,117.48000000000005,150.0,267.48,146.77,287.05,0.0,
2018-01-21,1,1,20.08,117.48000000000005,97.40000000000005,150.0,247.40000000000003,146.62,286.89,0.0,
2018-01-22,1,1,13.72,97.40000000000005,83.68000000000005,150.0,233.68000000000006,145.88,286.15,0.0,
2018-01-23,1,1,15.34,83.68000000000005,68.34000000000005,150.0,218.34000000000003,145.86,286.14,0.0,
2018-01-24,1,1,15.53,68.34000000000005,52.810000000000045,150.0,202.81000000000006,145.67,285.95,0.0,
2018-01-25,1,1,16.39,52.810000000000045,36.420000000000044,150.0,186.42000000000004,147.51,287.78999999999996,0.0,
2018-01-26,1,1,17.42,186.42000000000004,169.00000000000006,0.0,169.00000000000006,149.19,289.47,0.0,
